Date,District,Price,year,month,cpi_monthly_avg,cpi_index,cum_price_level,population,pop_growth_rate,hcm_spatial_cost_index,real_price,population_millions,affordability_index
2018-03-20,District 7,53.12,2018,3,100.25,100.03991617603035,1.0304159569135067,96237319.0,0.011140740475503952,101.47,51.5519966898755,96.237319,53.09880498753117
2018-03-21,District 7,52.68,2018,3,100.25,100.03991617603035,1.0304159569135067,96237319.0,0.011140740475503952,101.47,51.12498466910093,96.237319,52.65898054862842
2018-03-22,District 7,52.02,2018,3,100.25,100.03991617603035,1.0304159569135067,96237319.0,0.011140740475503952,101.47,50.48446663793908,96.237319,51.999243890274315
2018-03-23,District 7,55.93,2018,3,100.25,100.03991617603035,1.0304159569135067,96237319.0,0.011140740475503952,101.47,54.27905073164038,96.237319,55.90768379052369
2018-03-26,District 7,53.39,2018,3,100.25,100.03991617603035,1.0304159569135067,96237319.0,0.011140740475503952,101.47,51.814026793532626,96.237319,53.36869725685786
2018-03-27,District 7,51.47,2018,3,100.25,100.03991617603035,1.0304159569135067,96237319.0,0.011140740475503952,101.47,49.950701611970864,96.237319,51.44946334164588
2018-03-28,District 7,54.76,2018,3,100.25,100.03991617603035,1.0304159569135067,96237319.0,0.011140740475503952,101.47,53.143586949126174,96.237319,54.738150623441385
2018-03-29,District 7,53.01,2018,3,100.25,100.03991617603035,1.0304159569135067,96237319.0,0.011140740475503952,101.47,51.44524368468186,96.237319,52.98884887780548
2018-03-30,District 7,52.01,2018,3,100.25,100.03991617603035,1.0304159569135067,96237319.0,0.011140740475503952,101.47,50.474761819285106,96.237319,51.98924788029925
2018-03-31,District 7,53.6,2018,3,100.25,100.03991617603035,1.0304159569135067,96237319.0,0.011140740475503952,101.47,52.017827985265946,96.237319,53.578613466334154
2018-04-02,District 7,56.2,2018,4,100.25,100.03991617603035,1.0304159569135067,96237319.0,0.011140740475503952,101.47,54.54108083529751,96.237319,56.177576059850374
2018-04-03,District 7,58.97,2018,4,100.25,100.03991617603035,1.0304159569135067,96237319.0,0.011140740475503952,101.47,57.229315602446505,96.237319,58.94647082294263
2018-04-04,District 7,56.31,2018,4,100.25,100.03991617603035,1.0304159569135067,96237319.0,0.011140740475503952,101.47,54.647833840491145,96.237319,56.28753216957606
2018-04-05,District 7,55.15,2018,4,100.25,100.03991617603035,1.0304159569135067,96237319.0,0.011140740475503952,101.47,53.52207487663091,96.237319,55.12799501246882
